Model,AUROC,AUPRC
VAE,0.9661264444484505,0.3182361231304103
Autoencoder,0.9372541508175443,0.2407384254881721
DeepSVDD,0.7445705864325503,0.1000782906297092
IsolationForest,0.9446332317787672,0.04586702143324076
