Model,AUROC,AUPRC
VAE,0.960116998071064,0.43464927568841316
Autoencoder,0.9432288943772421,0.29288757687473177
IsolationForest,0.9446332317787672,0.04586702143324076
DeepSVDD,0.49974220764002814,0.0012173424477947374
